,position,company,status,listed,job_url,company_url
0,goldsmith,ACC Jewellers Ltd,"Surrey, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/goldsmith-at-acc-jewellers-ltd-4218637159?position=1&pageNum=0&refId=tiE%2B%2FchIujU1xDRmjjLdqw%3D%3D&trackingId=dQXnnSFwZ0axBFA4V4sZGw%3D%3D,https://www.linkedin.com/company/acc-jewellers-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle
1,People Generalist,Canucks Sports & Entertainment (CSE),"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/people-generalist-at-canucks-sports-entertainment-cse-4179931807?position=2&pageNum=0&refId=tiE%2B%2FchIujU1xDRmjjLdqw%3D%3D&trackingId=4eRQPewSjuj3f3gYzdUowQ%3D%3D,https://ca.linkedin.com/company/canucks-sports-&-entertainment?trk=public_jobs_jserp-result_job-search-card-subtitle
2,"Training Coordinator, Netflix Animation Studios - Vancouver",Netflix,"Vancouver, British Columbia, Canada",Actively Hiring,https://ca.linkedin.com/jobs/view/training-coordinator-netflix-animation-studios-vancouver-at-netflix-4229062098?position=3&pageNum=0&refId=tiE%2B%2FchIujU1xDRmjjLdqw%3D%3D&trackingId=0yTxceoz2A4HDvRgciCRLA%3D%3D,https://www.linkedin.com/company/netflix?trk=public_jobs_jserp-result_job-search-card-subtitle
3,"Manager, Event Staff Services & Scheduling",Canucks Sports & Entertainment (CSE),"Vancouver, British Columbia, Canada",2 weeks ago,https://ca.linkedin.com/jobs/view/manager-event-staff-services-scheduling-at-canucks-sports-entertainment-cse-4224209238?position=4&pageNum=0&refId=tiE%2B%2FchIujU1xDRmjjLdqw%3D%3D&trackingId=5wCtyMnL1RlATjOVUU0j8w%3D%3D,https://ca.linkedin.com/company/canucks-sports-&-entertainment?trk=public_jobs_jserp-result_job-search-card-subtitle
4,Resources Administrative Assistant,Vancouver Aboriginal Child and Family Services Society,"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/resources-administrative-assistant-at-vancouver-aboriginal-child-and-family-services-society-4228867621?position=5&pageNum=0&refId=tiE%2B%2FchIujU1xDRmjjLdqw%3D%3D&trackingId=Pqtm4IGPUal0wtYNFrhEPw%3D%3D,https://ca.linkedin.com/company/vancouver-aboriginal-child-and-family-services-society?trk=public_jobs_jserp-result_job-search-card-subtitle
5,packaging supervisor - food and beverage processing,Hon's Wun-Tun House (2011) Ltd.,"Richmond, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/packaging-supervisor-food-and-beverage-processing-at-hon-s-wun-tun-house-2011-ltd-4192638903?position=6&pageNum=0&refId=tiE%2B%2FchIujU1xDRmjjLdqw%3D%3D&trackingId=Kwj8Hd4yvcqVNOaMLROS%2BA%3D%3D,https://ca.linkedin.com/company/hon-s-wun-tun-house-2011-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle
6,Sales & Stock Support,CHANEL,"Vancouver, British Columbia, Canada",Actively Hiring,https://ca.linkedin.com/jobs/view/sales-stock-support-at-chanel-4216809533?position=7&pageNum=0&refId=tiE%2B%2FchIujU1xDRmjjLdqw%3D%3D&trackingId=tdECFHwpeSRLoOxmt9GiVw%3D%3D,https://uk.linkedin.com/company/chanel?trk=public_jobs_jserp-result_job-search-card-subtitle
7,"Freelancer - Multi-brand - Vancouver, BC",The Est̩e Lauder Companies Inc.,"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/freelancer-multi-brand-vancouver-bc-at-the-est%C3%A9e-lauder-companies-inc-4204800027?position=8&pageNum=0&refId=tiE%2B%2FchIujU1xDRmjjLdqw%3D%3D&trackingId=G7BRak4qUo1fy7PLDj%2FcwA%3D%3D,https://www.linkedin.com/company/the-estee-lauder-companies-inc?trk=public_jobs_jserp-result_job-search-card-subtitle
8,Digital Marketing Coordinator,Canucks Sports & Entertainment (CSE),"Vancouver, British Columbia, Canada",2 months ago,https://ca.linkedin.com/jobs/view/digital-marketing-coordinator-at-canucks-sports-entertainment-cse-4191652698?position=9&pageNum=0&refId=tiE%2B%2FchIujU1xDRmjjLdqw%3D%3D&trackingId=7ZQ0ajvkxOFxrhtzvTJSTQ%3D%3D,https://ca.linkedin.com/company/canucks-sports-&-entertainment?trk=public_jobs_jserp-result_job-search-card-subtitle
9,L1 Support Hero,GAM Tech,"Vancouver, British Columbia, Canada",Be an early applicant,https://ca.linkedin.com/jobs/view/l1-support-hero-at-gam-tech-4229497697?position=10&pageNum=0&refId=tiE%2B%2FchIujU1xDRmjjLdqw%3D%3D&trackingId=SP4CwC1ExImvQz98vfr5%2BQ%3D%3D,https://ca.linkedin.com/company/gam-tech?trk=public_jobs_jserp-result_job-search-card-subtitle
